index negative positive
2015-09-06 0.1147715 1e-06
2015-09-07 1e-06 1e-06
2015-09-08 1e-06 1e-06
2015-09-09 0.04917295 1e-06
2015-09-10 0.097546 0.0970025
2015-09-11 1e-06 1e-06
2015-09-12 1e-06 0.0562225
2015-09-13 0.52307 1e-06
2015-09-14 1e-06 1e-06
2015-09-15 0.436388 1e-06
2015-09-16 0.0885216666667 1e-06
2015-09-17 1e-06 0.0998355
2015-09-18 1e-06 1e-06
2015-09-19 0.567293 1e-06
2015-09-20 1e-06 1e-06
2015-09-21 0.124418066667 1e-06
2015-09-22 0.0984522777778 1e-06
2015-09-23 0.135491166667 0.0531804666667
2015-09-24 0.109583142857 0.0799314285714
2015-09-25 0.38025475 1e-06
2015-09-26 0.0294414 0.1577138
2015-09-27 0.0511236666667 0.265559666667
2015-09-28 0.271708 1e-06
2015-09-29 1e-06 1e-06
2015-09-30 0.0255112 0.144306
2015-10-01 0.161045 1e-06
2015-10-02 1e-06 0.204462
2015-10-03 1e-06 1e-06
2015-10-04 0.2295599 1e-06
2015-10-05 0.258320666667 0.117404333333
2015-10-06 0.1894545 0.0439031666667
2015-10-07 0.193395 0.1102905
2015-10-08 1e-06 0.1532124
2015-10-09 1e-06 1e-06
2015-10-10 0.3510195 1e-06
2015-10-11 0.2153945 1e-06
2015-10-12 0.1632155 0.12086325
2015-10-13 0.139597 1e-06
2015-10-14 1e-06 0.077568
2015-10-15 1e-06 1e-06
2015-10-16 0.07324915 0.027246
2015-10-17 0.0936135 1e-06
2015-10-18 1e-06 1e-06
2015-10-19 0.415254 1e-06
2015-10-20 0.10769646 0.164621
2015-10-21 1e-06 0.152194333333
2015-10-22 0.0816865 0.012976725
2015-10-23 0.426264333333 1e-06
2015-10-24 0.523829 1e-06
2015-10-25 1e-06 0.0667596
2015-10-26 0.0090582 1e-06
2015-10-27 0.139580833333 0.041109
2015-10-28 1e-06 1e-06
2015-10-29 0.2775955 0.248521
2015-10-30 1e-06 0.365243
2015-10-31 1e-06 1e-06
2015-11-01 1e-06 1e-06
2015-11-02 1e-06 1e-06
2015-11-03 1e-06 0.076862
2015-11-04 0.227530666667 1e-06
2015-11-05 0.246388 1e-06
2015-11-06 0.144075 0.0534737142857
2015-11-07 0.132711222222 0.062928
2015-11-08 0.1769315 0.0172449
